frame,x,y
7698,1288.3,3332
1014,2224.1,1136.2
6625,7172.3,5867.9
7948,3807.9,7229.1
9086,2652.6,2021.2
8858,7313.9,1083.1
4991,7554.2,1510.5
1227,5068,3296.6
4087,7144.2,5325.5
3721,9088,1495.6
5857,1536.2,428.26
739,926.56,4677.4
655,7455.2,1418.9
1727,1245.6,3796.9
5071,4830.6,3108.7
4016,3545.4,8376.6
1789,7376.8,5176
4318,1739.1,2672.3
9713,3964.7,5033.2
908,3365,1284.3
324,3650.9,3371.1
2137,498.88,7771.4
701,8379.6,4925.9
4891,5238.3,6734.6
5595,3215.7,824.27
191,5172.4,4755.9
2646,7835.8,7161.9
9413,4985.2,3727.6
4750,2151.3,7139.1
8235,7007.4,1748.1
4198,2582.8,1273.1
948,7068.9,750.86
1682,9065.9,64.084
1976,8924.5,5652.8
1064,4444.6,9916
6517,5099.8,4918.8
230,7137.6,6985.2
34,4936.5,7404.1
5814,9880.9,5631
6470,9972.8,8660.9
1075,6959.2,438.36
740,613.79,2871.5
6878,2680.7,8069.3
390,6046.8,5311
1442,4370.9,6623.4
8978,8018.5,872.49
207,90.404,5646.2
3617,9833.4,2354.2
2384,3602.3,2061.9
4158,6398.7,5325.6
80,5342.7,8340.4
6803,4195.3,5113.6
679,3147.8,6459.9
1,1852.6,2549.6
6844,4265.3,9414.3
7526,3564.3,9863.8
2967,8814.7,4834
2596,6882.3,890.59
236,9570.5,4801
5311,2832.7,9205.4
7498,7739.9,590.05
7254,8589.9,8056.6
983,7948.3,7791.3
8997,522.98,5646.5
9316,8005.8,3696.2
8339,2404.6,5750.9
1753,8074.2,2998.7
1304,8113.1,2482.2
4071,1086.2,3537.3
2669,8990.7,4324.3
390,5010.7,5699.7
1042,2095,4030.9
8744,9182.1,4880.6
8032,8940.7,6382
5591,352.17,8750.2
1316,8571.3,8084.2
1035,8681.4,1301.5
1584,6053.9,1500.2
7927,8196,9924.3
9983,3956.5,9776.4
4766,2938.8,7395.6
1599,4692.4,5234.9
1042,1362.5,223.38
6615,9051.4,8204.2
2799,2316.8,1270.9
3188,6153.9,2740.5
5790,1874.1,7541.6
8604,5536.7,9607.1
2896,1146.3,2811.4
1059,5059.8,9840.8
823,9035.8,9516.8
8760,9340.4,2228.5
266,4620.5,4484.2
1,3778,4306.8
22,1562,5855.2
267,908.04,9556.6
4395,801.62,2362.2
1382,5527.8,5620.3
7733,6693.5,6865
6003,7135,2630.5
6988,8875.4,5761.5
2852,2560.3,6865.8
663,900.97,9985.6
4863,6762.5,7797.8
8234,1179.5,9335.8
5394,2411.7,9309
1095,7905.9,372.24
671,8211.3,5229.6
6011,2081.3,7542.5
3630,3328.5,9008.5
292,2616.7,1202.1
227,9508.6,1504.4
1108,2018.7,2844.5
4035,3849.3,4051.1
1391,6972.5,2038.1
40,1887.8,2849.9
190,590.97,1579.1
5808,9838,5550.5
4903,758.21,2424.7
8579,8972.2,3062.7
4441,4306,6751
5432,8485.6,4556.2
4042,712.29,8017.5
941,8216.4,985.82
654,7466.9,1381.4
3405,5033.4,5630.4
9949,6386,9090.5
906,141.57,4844.6
2815,1128.8,2781.5
7168,9858.6,7503
3013,1048,3352.5
2593,6104.7,7772.6
8696,3701.6,2292.5
226,6090.8,6044.8
449,4986,1719.6
5515,6030,938.11
6163,5007,6151.7
3269,4614.1,9770.1
3100,8180.1,1005.6
5528,5669.9,515.1
2498,2632.9,2062.3
6105,9251.9,7272.1
8700,3756.7,2262.8
1435,8598.1,6186.5
292,9225.4,5077.4
4158,8363.7,2026.7
511,8577.8,4987.2
2083,8994.7,4279.5
6231,9711.2,1442.9
6940,6160.6,2781.3
4013,1155.7,3524.9
1936,496.41,6390.7
3160,9578.8,4324.7
493,5966.8,3938.6
6676,5325,8341
8984,8932.4,2776.7
7484,1135.3,4696.4
6654,5839.1,4880.1
4835,172.39,4406.1
8024,2427.8,3747.4
4959,8086.6,2425.3
749,7494,3059.6
2182,4020,280.54
4420,231.85,3401.2
2592,4233.4,6482.5
2542,8737.4,6680.6
1170,8237.4,1168.8
93,7915.6,396.28
9521,6016.7,5305.9
2729,2721.3,8044.5
442,4689.7,4250
2554,3632.9,3085
5573,8208.1,407.83
343,2256.9,4092.1
3117,5145.2,4584
113,8275.9,833.9
721,5270.6,3247.7
1933,3319.8,1964.9
3314,5531.8,2375.2
2414,9264,349.5
32,1705.6,8716.2
7207,4324.9,9779.5
562,6485.3,415.31
1127,4533.1,323.09
3182,7809.5,5683
304,9922.2,3093.4
6568,7104.2,3620.5
8666,4125.3,3035.7
242,5081.1,4700.1
4319,7257.6,8637.7
9077,2119.8,2867.6
5064,171.41,5800.2
4306,1875.9,5252
5579,6273.5,5246.6
2735,1298.9,542.72
1244,944.84,2316.2
1360,4604.3,3990.9
6092,7303.5,1160
2519,7588.8,4732
3248,1178,2706.5
6956,4379,6767.7
261,3493.9,158.15
4771,2889.3,7029.3
8604,3073.2,5231.4
287,5534.4,183.1
645,3133.5,3044.5
209,277.46,1411.4
3456,9273.8,4589.2
4126,8276.9,2836.9
1187,7968.1,1156.1
65,204.81,6341.6
417,8237.3,2257.6
1007,9173.5,4728.3
102,512.01,5732.3
128,6244.4,4776.3
1932,5721.1,1207.5
3847,1498.1,7538.5
6252,6238.8,2457.2
1153,5963.1,982.14
9153,2668.7,5805.7
460,7242.8,5940.5
2699,5223.7,138.12
502,3025.7,6220.9
2492,9466.8,203.62
382,4807.1,77.685
323,7516.9,2763.3
5582,700.96,846.63
6076,8463.8,9046.1
4255,2341.1,2025.1
7409,2448.1,522.13
2680,7114.6,5805.5
6048,8932.6,2779.1
1561,7774.7,1169.1
9955,6375.8,9113.1
2987,8987.2,9478
108,4903.9,2422.9
109,7125.4,7917.5
5840,873.32,7762.3
7262,3137.7,4986.4
2629,3307.6,8660.8
2419,2943.9,1205.4
1754,5077,4621.8
1243,9272.7,5326.8
3634,6868.2,1431.8
1182,7270.4,8895
4319,3284.5,1003
893,3404.1,1300.2
1940,7523.6,4703.8
4065,9422,8712
2121,8385.9,5837.1
5582,696.48,25.774
3729,1872.9,774.44
4903,4914.5,143.74
2907,7576.7,73.596
8302,1009.1,2436.9
443,1377.4,7975.8
7247,936.73,7303.2
498,5190.4,1941.5
303,6262.4,7606
736,6239.6,211.62
8149,2269.6,8550.6
5595,197.66,1735.1
2553,3817.5,2378.9
9149,7999.6,7734.6
3519,1714.5,2353.7
4690,4353.6,4060.2
5157,3898.4,7985.7
301,6217.4,7581.6
6632,1536.7,7249
8220,8044.3,3777.6
2670,943.25,7868.5
1702,7055.6,4532.7
37,5577.5,232.92
2148,9185.5,6968.7
6501,298.42,2810.6
218,7393.1,7931.5
5506,9813.6,7398.9
4916,7390.1,2167.6
5529,4197.9,4336.9
5311,2699.7,8553.9
1400,3498,5301.8
9300,2705.9,8415.3
377,5527.8,5917.9
2612,7190,8719.1
1835,7290.9,7639.7
360,2588.3,1163.6
570,4266.5,9201.9
254,7440.2,1661.5
583,2343.5,4346.7
9815,8114.5,1524.9
2209,369.99,2940.5
531,3519.3,8401.6
32,7107.9,6166.7
7143,2241,1088.6
7783,2228,9261.3
2093,9740,2887.3
8196,252.05,2780.5
1311,1164.9,9457
8838,9723.4,9053
7384,2443.3,3070.9
4913,8243.5,2261.7
4945,2911.4,5760.2
4225,5505.9,1670
8227,1107.9,9300.9
2826,6126,6202.7
4279,2864.2,3179.4
3858,1542.3,7529.3
8346,2103.3,9613.3
8920,8540.6,5180.7
3190,8066.6,3339
8235,2193.5,6655.7
4719,643.59,6102.7
5998,7642.6,2510.1
7923,8144,9883.3
9785,4964.5,5319.7
230,8222.8,9902.3
9169,7502.1,7308.4
7731,9941,7309.7
9428,1428.2,1625.7
1772,5819.6,3788.6
1458,8365.9,4004.1
8959,1119.2,7041.2
5804,3530.3,4636.3
333,3621.8,2031.8
8628,5103.6,354.91
8308,1037.8,2488.6
52,1295.9,517.33
92,3754.7,5090.5
4570,3157,5238.9
8019,9101.1,3591.4
653,8437.5,2810.5
2748,7808.5,4887.7
392,5323.5,7073.4
8962,1142.1,7026.2
42,131.38,6487
7169,6674.7,264.35
8650,4394,1452.3
2487,9464.2,218.09
6528,5983.5,8246.5
2491,2639.9,2041.5
749,2033.9,2941.8
1587,4643.3,5271.1
928,513.16,5544.3
528,7438,2459.6
5592,7167.6,7504.4
375,6084.8,9007.9
3566,8253.9,579.18
6063,4319.5,6588.2
906,7949.9,1782.7
7258,778.22,8179.7
447,3865.1,265.98
1359,3641.8,8112.4
3311,2093.8,1467.8
4231,2388,1961.6
6826,8054.6,945.96
282,5472.3,6452.8
2580,2187.3,1009.4
4777,4862.3,7782.8
4934,8155.5,2536.3
3750,2830,126.6
1965,4389,4646.8
1686,7100,9135.4
6213,2518.9,2641
325,4092.2,4998.9
6674,8851.6,8684.7
1669,9272.8,8735.9
1871,1267.7,5867.5
906,6386.6,7173.8
648,6163.6,6169.7
7270,1726.4,1984
1670,9220.1,1149.1
8438,3445.4,5088.2
743,555.55,3344.9
1778,122.99,204.93
2031,7771.1,1305.5
763,3811,1240.4
9156,4991.6,7792.3
5757,6704.8,6025.1
4021,3547.9,8406.6
1845,9517.2,5357.7
362,2687.7,1154.9
906,5084.1,4796.4
4921,774.84,2373.7
326,5534.2,7107.5
6770,6704.2,9240
3311,4890.9,301.9
578,3919,7329.5
6318,6891.7,1411.3
5879,3974.8,4780.7
481,2873.1,126.2
4013,6227.8,4751.1
460,5420.3,5898.8
3395,5073.3,5006
2595,8225,6610
9149,8763.5,1785.5
3226,6764.1,2006.5
4919,9436.2,9462.7
2596,6891.1,1466.1
3263,8361.9,421.25
7452,6069.7,8320.3
1236,389.9,8908.4
9396,1188.2,5144.4
5864,7589,3614.4
2710,9108.8,845.54
2524,1039.5,2646.3
3039,7940.1,369.67
4613,4859.6,5932.5
6483,3360.2,4986.2
2601,6832.7,1426.7
8343,9607.3,1630.3
5494,6479.7,2916.9
4036,7232.6,4521.7
4036,3439.2,8455.7
1079,2275.2,3387.5
1898,4390.7,6718.8
5437,1553.4,8206.1
4093,434.91,4092.7
8397,4826.7,5963.4
440,5341,5635.6
7916,6894.9,6208.2
173,4090,4247
1,2534.1,6023.1
490,1159.3,4385.9
5629,2076.6,7503.2
3702,5348.4,7107.2
7347,477.75,7777.4
8418,4229.6,9751.5
1440,1980,7925.6
4203,8623.8,6915.5
2751,4011.6,273.14
689,8520.3,3872.4
1303,5887.3,772.84
313,7405.6,2143.4
567,9519.4,6160.8
915,7530.7,2501.5
2106,2639.5,5935
6900,4769.1,9257.3
6445,8137.8,2466.7
1932,6095.7,8888.9
324,8832.7,5644.6
350,385.73,8046.7
5785,4952.2,8706.1
223,5967.6,6475.3
6521,7136.4,3582.2
2447,7541.9,5703.9
1765,2515.6,9439.3
6104,2690.8,3989.5
108,9168.7,6678.5
5141,19.878,8253.7
3034,593.29,1826.7
3126,6285.3,4885.7
