frame,x,y
9351,7847.9,4251.6
1448,4119.2,6027.9
1645,3498.9,9786.7
7620,4240.7,6217.5
7516,5173.2,483.19
2784,7780.4,3794.2
8526,5834,3991.6
337,8792.2,9028.3
5163,6705.4,463.87
9773,9298.3,4302.9
5747,5131.8,6742.1
1193,8636.8,829.09
1404,2637.3,9559.2
7295,4722.3,2377
3562,7.1542,8129.2
1623,1293.8,7267.6
996,8264.1,4112.4
2430,6348.4,1807
1580,7724.8,5600.1
732,9682.3,8938.7
36,5115.8,6095.4
4295,5697.8,5579.2
9873,7975,5201.8
672,5866.5,8778.3
8960,2595.9,2401.3
6004,5536.6,9222.4
217,5128.9,4412.1
9425,5097.1,9040.5
3836,5732.9,5518.9
998,734.77,7195.2
2032,1903.4,8041.7
4070,6363.8,3240.4
1257,7915.4,2356.3
5246,4538.5,4137.8
9234,624.29,2861.7
3120,6547.5,6134.4
7655,720.49,5092.3
2926,7692.7,996.4
3779,7445.6,1363.5
2096,2924.7,3799.6
3201,2196.2,133.52
9676,2553.9,4333.7
106,7937.6,6259.9
2845,5073.2,3524.3
684,6753.1,4433.9
8203,6510.1,6111.4
576,2756.2,5437
5770,9499.8,9223.3
2905,2588.8,1227
927,7993.5,6462.6
1818,3156.2,1621.2
3408,1802.6,9565.3
2793,5625.3,7267.4
5275,3356.2,237.15
1597,8845.3,3837.6
5,2150.1,7111
545,9942.4,8345.3
2592,4411.1,7874.4
176,5381.4,7712.3
7974,8980.7,827.64
4085,6445.6,2589.2
4549,6280.6,3206.9
3607,8984,3243
2976,5414,3113.6
2638,9737.3,3227.2
6593,6804.9,6687
19,7001.5,1173
4223,6275.4,1835.7
1690,5547.3,9177.4
7978,8980.4,742.25
5151,6697.7,482.01
1,928.68,5046.1
5513,7797.2,92.663
2644,5813,925.46
4622,3321.2,8372.5
380,2.6423,2369.9
723,7834.8,3755
175,3902.4,6161.6
494,786.61,985.62
3057,6477.2,2736.4
337,1475.5,4616.4
50,6985.4,4457.9
49,8022.4,6422.3
6631,5986.3,9959.9
5389,9361.6,7801.3
421,4025.1,8001.9
6225,6792.4,7751.7
291,6096.1,9204
6127,7235.1,455.59
6936,5452.4,3219.4
6489,3138.7,4238.9
4282,7147.8,448.28
75,9415.4,2126.8
9055,7928.6,2341.5
197,6509.6,4978.9
1606,5067.5,2236.4
7058,298.33,6322.6
8767,3260.6,3070
2875,3261.2,2087.3
9139,9141.3,8608.5
4075,2997.7,6327.7
463,1768.3,9457.7
417,4010.1,7899.9
5450,848.84,3457.3
590,7100.1,582.98
9757,1384.3,620.25
5493,471.4,752.77
9394,4041.5,5157.5
5526,3284.9,3644.6
466,9397.9,7105.5
5634,1277.6,3861.3
6315,6488.2,8642.6
5138,6662.2,490.33
2115,8030.6,9747.6
4735,8476.1,9406.1
1506,9709.4,4042.2
3967,2807.8,6712.3
2485,8893.5,3525.5
1114,8670.6,609.33
7694,2201.4,83.624
1108,400.84,5211.1
1225,9707.6,1969.1
683,474.62,750.69
4316,8500.2,8771.2
59,713.24,4361.6
3736,3182.6,2094.4
5633,1345.6,3805.4
79,8904.8,3480
4724,9864.7,8457.8
6214,8723.4,2817.4
174,3686.4,3795.2
183,5808,976.85
2965,9708.3,635.77
2492,8548.8,1930.3
714,7961,419.56
165,6199,5660
702,9774.3,1992.7
6751,6330.4,3276.6
309,9691.2,7107.8
6795,687.2,1655.1
2418,8208.1,9862.3
215,2872.8,3802.5
2996,8782.9,1813.6
1070,3641.5,3871.4
2066,5093.5,6734.9
1388,6385.7,6965.1
5534,4978.8,5071.5
5,3301.3,3126.5
6127,3939.4,4127.4
7773,940.84,6787.6
2340,9329.9,5155.7
99,7189.8,2051
190,3678.5,3741.9
2802,1022.5,9719.3
8704,2084,9343.9
4302,3422.4,851.01
640,8795.3,7854.1
5672,7987.2,2257.5
2448,8022.2,4612.6
2649,6675.2,4443.9
8594,9645.7,8879.5
6851,7853.3,2379.2
1852,1921.3,1492
3735,7946.5,105.13
4510,5238.7,5130.3
4598,536.84,4707.9
648,8326,8203.7
35,2080.9,9307
5206,6659.3,500.83
137,3207.5,6766
1082,8706.3,7055.1
3098,8789.2,1445.5
5178,1716.3,1130.4
8131,4881.1,3371.8
8365,5418.9,7609.6
8984,4803.3,3391
4926,4895.3,8006
1084,5048.6,8018.6
2377,3687,3735.6
8809,2862.6,8626.7
4390,758.76,5044.7
5429,8820.7,3622.9
873,6865,2880.3
678,5896.9,5447.8
2433,4655.2,6627.1
5529,2854.9,74.843
207,9618.6,4000.5
533,3109.6,1956.6
1978,806.18,7796.7
4311,3612.1,3922.3
473,6491,1226.3
8841,3827.7,3133.9
1396,262.63,2945
4523,520.37,4733.5
5507,7783.1,143.98
853,2634.3,107.39
4882,5081,4347.3
171,9327.3,40.676
218,6321.6,8046
3187,8967.3,8382.2
564,4649.8,4051.6
1777,2379,373.61
4672,1624.4,5490.7
4267,3275.2,1221.3
3188,8507.7,1081
1982,209.31,6375.9
4489,9467.3,9179.4
6566,3795.1,7648.8
8003,3940,4154.9
6563,3691.3,7593.1
117,560.27,771.82
4468,6904.5,9375.4
37,2308.5,8283.6
2533,8341.4,8008
5183,6709.5,439.19
7991,2995.7,710.36
74,769.63,8572.8
7647,31.442,9024.1
4210,4529.3,8443.6
6952,5425.3,3252.3
2197,2842.2,8458.1
1773,4221.2,9950.7
9859,2220.4,5873.9
266,6714.4,477
205,9252,2891.9
2881,2602.5,2403.8
132,4377.9,1978
1089,48.789,9013.1
9129,2133,1903.2
588,1714.5,4449.9
7380,3875.6,2449.6
1463,2347.4,8520.2
3250,7875.4,9454.7
1913,5001.4,5080.7
749,3176.9,1910.9
7202,7990.1,7080.5
850,3941.6,7855.9
8059,7883.6,9421.8
1992,5760.5,4989.5
1977,9491.3,9774.5
255,2884,3872.5
5761,5098.3,9037.1
5079,6641.7,515.2
1836,3542.6,1786.9
2098,9441.1,2126
8266,6290.8,5024.2
7218,5562.1,9358.5
6752,8779.5,7036.1
2031,8873.7,3838.4
1957,6917.2,2830.9
2105,826.43,9670.4
4850,4897,9477.2
3670,943.02,195.84
820,5552.7,1088.4
1585,8505.2,1901.9
72,1904.3,3705
3289,2992.4,2266.3
323,9708.6,585.25
5207,6692.1,410.92
502,6481.9,8591.8
5529,9203.6,4279.7
3948,2662.4,4224.8
5150,6678.4,439.46
1304,7633.1,7560.6
1659,541.35,3356
561,6910.9,4484.6
2159,111.26,9057
166,7130.5,3037.5
197,9712.9,8444.8
4732,1289.9,3196.9
2470,9135.5,866.82
786,4084.5,5961.7
1684,4039.5,5170.6
3413,1763.5,9558
2876,3211.2,2034.3
9714,1393.7,3844.8
101,5899.4,983.54
5185,6700.7,544
3438,4042.4,8316.7
4735,5420.9,6935.8
1929,5404.7,6930
941,5999.3,385.59
1815,3129.2,1556.6
9123,30.593,2339.3
2881,4232.7,775.65
2560,3548.3,5148.9
2012,5974.7,207.33
387,824.8,5463.7
