frame,x,y
509,3130.7,4141.5
1814,8876.8,2032.1
2105,1362.7,3022
6040,2199.2,1327.1
6329,8369.5,9158.6
5484,5375.3,3673.1
71,2065.9,8171.9
7125,3667.9,9035.8
9612,7322,8002.3
1633,1828.8,7286.2
2521,2785.9,2323.6
6333,480.98,8430.4
972,725.17,3517.3
646,9632.2,6263.6
9535,7225.3,7530.6
1174,6541.3,8288.9
9207,3377.8,4416.8
2030,1028.7,5.669
3785,8621.1,9247.9
7488,8364.5,9148.8
399,9000.9,4752.1
2825,5449.5,2168.3
4424,5740.8,6140.4
4956,5545.9,7389.9
1061,9813.7,2746.5
1901,3945.5,6808.5
3120,6924.7,4929.3
564,6402.1,3169.4
5904,8540.9,6962.7
5638,8689.8,842.38
2902,8877.5,7650.8
937,8527,2555
1988,765.05,409.72
505,3018.5,6461
1063,4655.3,2030.2
3980,4145.5,5134.1
7174,5401.4,1826.8
2188,2450.2,96.964
4003,1007.4,6333.6
119,4334.2,2098.2
78,1435,6628
2867,8284.8,4236.6
85,6526.7,2455.2
4212,7812,2188
5707,5479.2,1746.2
4894,8081.1,5205.2
8,6706.9,5491.5
456,9664.5,3867.7
1496,7832.6,5432.1
459,9244,4952.8
4681,3886.1,5757.3
5382,2312.8,6232.5
2679,4589.2,5531.8
1853,6895.4,3414.6
68,1551.2,6608.8
1917,9848.8,8439.9
414,341.17,8047.8
2994,2242.3,8608.1
351,2510.1,8987.5
2280,8011.4,6701.8
5504,4498.7,2781.7
5888,9003.3,8510.2
5946,2183.6,3402.9
1361,2772.1,4972.5
121,1346.7,2384.1
146,8289.8,8109.5
2506,7439.1,2626.4
851,4222.9,8641.8
1058,924.77,7449.8
6456,6992.7,289.9
260,3026.9,8783.4
7012,7864.8,8794
6520,8869.1,4041.8
5709,310.96,960.05
5616,4836.3,486.76
954,1811.4,4570.4
888,8634.4,6916.4
7791,4308.9,8348.6
9785,3042,8727.3
4333,6584.7,4655.8
9157,9471.6,1340.8
1300,6239.6,8064.4
6741,7174.6,6224.9
9968,7845.4,2175.4
2678,2303.2,2341
757,1852.8,4632.3
5183,7880.1,1039.5
3695,9631.8,5518.7
23,4035.1,3373.6
10,3750.3,3151.2
2792,7966.6,7774.1
4202,3911,4408.3
121,7144.1,2207.8
3019,8558.7,6910.1
3284,5437.7,3582.6
6486,7892.6,2102.6
263,6178.4,8038.3
6331,5840.7,966.48
2875,3940.1,6844.1
1918,3021.9,6466.6
1934,4522.1,102.55
8866,1662.5,1262
5725,1342.8,2939.8
519,111.17,4275.2
5467,1360.4,2381.1
1069,3173.5,4146.5
6429,8453.5,6812.6
1962,2985.2,2313.7
1017,129.84,2072.9
5853,337.19,6579.7
132,9511.3,9916.4
9623,6811.4,2916.8
2354,1485.5,8815.9
8162,8786.5,7314.4
3386,4038.3,661.03
2837,5386.3,5975.9
4639,6786.5,2927.7
9954,1692,3101.1
4439,4977.5,3848.3
648,8710.8,2760.9
2686,5527.4,3200.2
2935,1002.4,6280.3
9834,8289.9,7558.1
3966,5710.4,6728.9
8860,4715.1,997.44
2865,6009.7,3188.7
700,3409.6,2151.6
620,1521,8139.4
1511,1448.3,8834.9
172,2316.9,2659.1
1197,8297,9736.1
5463,347.75,6787.7
8518,2093.5,4313.1
424,4887.9,1007.7
4656,6746.5,8834.7
2051,5436.1,2097.7
3901,4246.1,9408.1
4911,7386.2,6690.1
788,1086.3,4650.6
209,6785,9121.9
2158,2145.5,5107.8
2181,7925.1,7226.8
