frame,x,y
8029,2339.6,4479.3
1187,942.91,6110.2
941,4996.8,5657.4
536,7615.2,7116.1
2271,4989.9,5416.7
300,936.46,6076.1
5535,713.09,3875.6
5438,7031.8,4787.6
2390,543.78,5502.2
4436,4910.9,1062.6
3477,2034.5,2527.3
1765,7704.8,2336.4
6161,9885,18.687
678,2955,5445.4
7810,4065.2,2264.9
9106,7244.7,230.37
3548,704.22,4942.2
3407,3320.8,6099.3
1288,2799.6,8966.6
1044,1703.1,7473.6
4247,5813.2,9928.2
4294,2254.4,4851.7
6866,9162.1,4077.3
8078,8662.5,5355.8
282,3762.8,8498.7
3063,5223.7,7078.8
531,3283.2,7627.1
786,3414.7,4889.8
179,2195.7,1452.4
4265,7617,16.193
5383,1530,2707.8
3998,7525.3,4036.1
4799,498.59,241.17
1491,544.08,8405.1
5522,7728.7,2320.3
3109,5831.2,1510.2
5465,2534.6,802.5
465,2598.6,9266.6
5787,3557.5,1422
3617,8917.2,399.85
10,7123.1,4519.2
2877,8429.3,3829.4
8784,9064,9691.8
5131,4181.4,2819.1
9852,5476.6,2132.1
1498,3873.3,382.39
3952,8318.1,8399.2
4454,7616,8683.1
1621,493.23,9766.5
2577,1232.4,2746.5
30,5800.7,3161.5
143,8291.8,9754.6
406,1779.8,7692.4
4437,2212.7,608.98
693,9446.7,6600.6
61,7901.5,7053.3
7429,19.403,1304.6
3,2914.3,2350.7
449,6751.7,9545.8
1278,3931.8,3712.3
6776,6736.5,3220.9
1423,7054.4,2754.7
680,685.24,290.26
2367,7665.2,5932.8
3671,2042.6,7173.9
6856,320.31,9870.2
4431,2333,1491.6
781,644.98,1442.3
1564,3940.4,372.99
5311,5818.5,3127.7
8499,7480.1,4455.4
8831,8439.8,2443
8840,4723.1,8792.3
7648,5274.5,9837.1
1109,9920.7,3184
4086,8592.7,8138.7
3649,2953.2,8844.7
7,6714.9,3823.9
7507,9737.7,2236.5
1231,9149.1,9702.3
508,1575.5,6712.3
2583,1487.3,4284.6
4016,1340,5483.9
6266,775.32,8668
1819,7619,1589.1
7558,7468.6,4485.4
6410,804.64,4326.1
284,4923.8,1045.4
1960,2051.3,1484.8
7205,1445.2,3745.6
322,5022.4,5602
562,4613.2,4700.8
501,1721.5,2548.5
8448,182.42,3285.9
1214,2581.4,9288
4372,7136.6,9925
4315,9069.3,2854.6
6134,1011.9,7120.5
5412,1764.9,2495.5
4750,7239.9,9295.2
69,2411.7,9090.1
236,2260.4,4948.3
1838,2450.4,9596.8
7166,5080.4,5165.4
8307,1963.2,9746.2
1647,3239.5,4638.3
6245,6206.4,5108.7
199,513.19,2586
6532,25.962,1270.6
1430,7635.7,7121.1
5898,7505.1,5553.4
9154,3613.6,3021.7
515,5597.9,6539.7
1991,5942.7,7286.5
1083,9165.8,7721.6
6579,4862.5,4937.1
20,7550.3,3213.5
9738,7935.8,1620.4
6586,2624.5,4114.2
4005,1574.5,7706.6
288,2195.8,638.45
12,6158.9,377.1
2074,6716.7,3167.9
6235,1880.7,8247.6
4394,7645.1,6507.9
5238,5724.3,8914.3
192,1421.5,6012.1
6517,8310.5,997.71
1743,8093.6,3092.4
7673,4970,3391.8
8350,8635.3,5312.1
242,9082.5,2048.5
5934,5762.6,8749.1
64,8292.8,3961.3
4391,3629.4,8360.3
5479,3209.5,3955.3
850,9449.1,9096.9
1278,2993.3,8747.4
474,3298.5,6102.2
9179,3191.4,4628.4
6236,2458.4,9663.8
6213,7314.3,2149.8
3532,9593.8,8165.3
1836,5095.7,7537.2
2954,4690.8,4348.5
8684,4366.9,1399.3
1761,696.55,4355.4
3552,3315.6,6839.9
5130,359.08,9290.7
365,4718.3,1520.2
4914,541.72,8343.6
7259,519.13,5426.8
1535,7768.7,2356.4
2166,1662.3,3522.9
8599,2847.2,3172.2
3698,7312.3,221.18
1160,4661.4,4349.1
1181,8368.6,8077.6
5777,7901.2,7035.2
8595,579.16,7502.4
2030,1696.3,7560.4
6995,8899.4,2202.5
335,5554.4,7992
5259,5685.1,4614.1
2261,3926.8,333.3
839,1924.6,1302.9
4437,640.56,7422.6
3880,740.33,6970.7
5533,8097.2,1980.2
4014,4158.6,7502.6
6454,4085.5,5200.4
3805,1641.8,107.37
889,8070.6,1475.2
2954,5077.3,7467.1
2588,714.71,6926.8
5101,2836.8,3641
5396,31.752,9641.3
312,4835.4,4997.7
2845,4600.2,9558.8
2640,4877,8660.5
230,4817.5,8735.3
7647,468.18,3365.2
1211,2524.8,9315.6
305,7259.2,5101.8
2586,8282.2,8396.7
7521,7025.8,2793.8
2515,4856.3,5410.5
2704,8815,8140.4
645,7375.7,7145.4
8938,345.09,9256.4
5636,3243,3992.3
457,1168.3,7152.7
519,4204.6,5793.2
763,8391.8,3073.7
9048,5891.9,1535.3
2185,9273.9,858.91
3147,7765.2,2406.5
4885,2169.7,9529
6310,3202.4,1713.4
418,4614.8,4348.1
325,3367,7903.7
190,1026.4,8903.4
8788,8479.4,2424.3
990,2770.5,3621.4
475,7175.1,3652.3
352,6731.4,2671.7
480,5620.3,5641
235,7431.6,9781.9
1476,7714,5202.6
1590,2025.4,9900.6
2257,7393,8099.7
3301,8389.2,2372.2
461,2015.1,2262.4
1862,2976.5,7498.5
1326,3267.5,9723
331,6488,3888.6
4624,3084.9,8260.9
20,7705.4,1491.2
7233,1968.3,7592.8
2038,2346.9,1465
30,6182.4,8711.4
675,5615.6,2373.6
3174,54.188,3369.1
3220,3574.9,4510.8
116,2626.8,734.36
3299,6769.6,3720.7
5131,331.43,9323.3
7192,9086.7,2057.4
5808,2626.7,9296.5
8746,3287,9709.8
5962,3759.9,7744.7
6431,5406.9,4330.4
1800,265.07,3281.8
5028,8557.9,3966.8
120,2284.5,4912.3
1708,2543.3,9269.4
6255,4253.5,3332.8
2974,573.87,4394.8
5994,2826.7,3686.5
1863,4828,5347.5
6746,4987.5,9160.5
9663,795.35,4320.1
3993,8499.9,7077.7
1421,8763.3,311.2
256,7178.4,8354.3
8101,8667.9,8564.5
8445,7266.1,2076.8
9498,4108.7,7262.4
4632,9908.8,1068.5
650,3281.6,6043.9
238,1679.2,7655.3
1939,4176.9,4857.3
628,6195.6,1254.8
