frame,x,y
409,2752.1,1032.1
4863,1940.7,4597.5
956,449.53,812.07
540,6122.5,4730.5
93,5643.8,5853.8
2029,4438.1,1351.4
176,7803.4,5358
3235,6861.4,8584.6
963,1477.5,3089.7
1238,4933.2,8950
5,2986.7,5668.5
1785,1517.1,5668.1
964,9392.7,71.161
806,8089.5,3133.5
2119,340.98,4072.1
5147,22.298,441.08
9419,8836,2459.3
1877,6357,5850.5
809,3683.4,3908.8
4631,679.69,2931.3
2439,3497.1,176
5013,1675,2075.9
1773,4811.9,878.2
134,7373.8,7302.9
194,5836.7,8249.9
4268,2267.9,8433
391,1931,1409.6
1097,2352.2,902.05
533,2579.1,7649.7
5184,765.77,2930.8
531,1151.6,8932
357,8888.8,1207.1
2717,9785.9,5793.2
717,7311.6,643.92
15,4453.5,995.78
2,8447.4,7406.3
159,6594,7840.8
90,4273.6,8988.3
304,6699.9,3560.5
1142,5454.9,357.48
1892,153.43,7259.4
6947,8501.9,316.8
1598,1055.8,5788.5
536,7635.9,3482.8
204,1973.7,4162.6
3060,4690.4,4227.3
72,664.45,4286.9
2596,8439.2,4512.7
7204,6712.6,1646.3
3540,975.39,9276.1
8250,4186.4,4656.1
153,6615.4,2557.1
8360,3557,7711.4
5833,9969.9,346.35
151,3893.6,2655.3
199,4426.5,3749.7
1839,6619.2,4643.7
6871,9950.4,4071.6
1153,1077.7,4287.2
5643,1026,9316.7
223,1665.3,1971.2
2657,9568.7,1373.2
578,7948.6,2830.5
873,2100,96.031
40,7816.5,7291.3
2263,4392.8,7505.5
453,4420.1,5504.9
1488,5450.9,9306.3
2667,473.86,4054.7
722,2842.9,8108.7
3410,5906.1,6341.6
1746,2678.3,3204.8
1249,4445.9,5944.9
773,9681.2,7839.3
2980,7003.9,4923.6
4,7588.8,4341.5
2904,4606.2,3008.4
441,2392.6,6169.3
1047,43.79,2256.3
2087,3200,215.61
1761,33.091,8859.2
1527,9890.6,8200.7
858,3527,5650.1
285,8379.7,2879.7
309,742.56,4905.4
5119,4778.9,1615
821,7959.8,4225.9
2960,4604.4,5968.2
1485,7953.1,7287.5
77,7728.5,3566.4
3385,2703.6,106.34
1434,8820.7,9981.7
157,270.87,5386.3
4451,903.98,3090.2
2363,326.05,4009.7
16,1501.2,3132.5
739,4161.1,2967.7
1910,1400.8,7015.7
14,4467.8,968.02
1184,7309.2,4082.9
1036,8945.5,5262.4
957,6016.3,7189.2
376,4447.7,4093.2
884,2115.1,4343.7
2732,5803.2,2530.2
3113,4281.6,8468.1
741,9598.6,8214.2
91,9256.8,5073.2
172,5933.6,3323.1
1158,6406.8,1483.8
5324,1813.8,7964.8
1102,2389.4,939.13
5468,8647.4,7761.5
672,9524,8566.3
549,9256.6,7936.6
40,3159.2,5857
1081,3962,9740.4
6522,9364.8,756.78
3291,4392.9,6695
1340,5756.7,5854.4
32,7364.7,1815.3
621,7327.9,6676.8
4861,5370.2,8443.4
49,6680.2,2183.6
3518,1030,9051.9
5460,9512.7,8185.5
2275,3055.2,9745.3
239,2913.3,5652.1
13,8795.2,1569.8
6316,3765.8,5294.7
1480,2711.6,1026
471,1933.7,6619
1839,1467,3918.3
18,2898.2,2621.9
3513,1468.2,8608.7
1196,7046.1,1312.8
164,3214.3,5800
303,913.89,7562.2
714,8432,8627.7
903,3918.3,8384.2
19,8106.7,3018.8
1181,9209,5645.3
472,8902.9,1730.8
43,4520.1,49.201
6935,6294.5,421.58
149,3422.3,2063.5
3225,4607,3008.9
348,9371.7,1333.1
961,5698.8,4914.3
4139,8257,2665.5
1329,7810.8,7381.2
122,2040.7,5693.9
195,5481,7178.4
483,2602.4,466.38
586,9379.1,803.85
630,3727.3,7987.7
5049,2459,3598.4
205,4619.3,7095.2
3006,7503.2,185.41
535,8182.1,2535.3
6580,7472,2723.1
388,4114.6,1718.9
9502,2540.1,5611.1
177,1620.1,2923.3
91,8553.8,9208.4
1186,5162.6,5180
6863,9883.3,8297.3
4529,9435,387.17
117,3439.7,1989.4
141,9552.6,4410.6
1478,2950.3,773.83
4401,3331,2938.9
2184,2103.4,155.33
1052,4850.9,1407.1
2516,9998.3,5537.3
326,8182,5038.5
6294,3002.2,8165
1155,5220.4,6268.4
829,917.51,7569
1620,2966.8,1470.6
91,8797.8,7870.5
6100,7796,783.11
3324,6551.8,4099.1
6637,6734.4,8734.1
75,6282.5,6452.7
2523,1705.3,8869.4
9011,667.21,2681.8
9,532.14,845.65
158,2988.3,8357.9
35,2895.5,1511.2
114,7079.4,2119
94,9110.6,4614.6
1499,8203.2,8939.6
32,8054.7,6127.5
2745,8252.2,7144.5
472,1160,2297.4
5338,8102.3,7023.4
72,5783.5,8502.1
246,9654.7,2337.6
4078,4168.2,4647.7
388,1279.8,5465.8
3291,9020.8,4830.2
36,646.35,121.82
951,7133.4,7039.4
93,9767.5,5842.4
5272,5005.8,31.878
14,1516.4,3143.8
268,9787.5,2287.7
112,1683.7,9947.2
49,2633.1,1022.5
30,7374.7,7249.3
6280,5226,2098.6
76,9658.8,2486.1
8841,9408.7,7157.3
5194,9154.9,5797
4114,9472.2,5795.8
915,4832.9,750.01
1585,8094.2,1769.5
624,8394,1519
2871,2303.4,4124.8
580,6862,3719.5
2860,4295.8,8304.2
5286,7255.5,8161.4
20,5790.4,6118.7
31,7360.6,7323.6
1770,4928.1,3476.6
29,782.35,4191.5
2,7644.7,1760
153,8731.9,4815.7
2,6163.8,5207.9
406,1684.6,2048.5
444,8912.6,3599.6
5759,2042.1,9845.3
137,4428.3,5780.5
