frame,x,y
392,5026.9,9610
205,1508.6,3913.5
1034,9753.1,4896.3
2691,6899.8,7630.8
27,2422.9,14.44
6810,2291.9,1455.8
618,738.87,6847
449,7256.9,3030.4
84,7996.7,2874.5
6916,3052.3,65.799
298,1232,2934.3
152,2618.3,2939.4
71,3564.4,9103
4380,8401.6,3369.2
1640,8677.9,7181.1
9228,5572.6,6715.3
9466,7276.9,6226.5
215,336.3,3182.8
622,305.5,4425
1490,2687.2,4408.1
5493,1858.6,3532.1
3653,6872.2,7889.9
140,1979.3,8900.8
3749,4274.3,7059.7
915,8701.9,1792.3
2352,3565.7,9386.6
1110,6580.1,9941.8
1502,3597.8,9058
164,2087.7,1485.4
256,1561,9153.1
73,272.46,6090.1
282,9544.5,6275.6
2869,2904.8,5168
2493,6851,8340
1075,6961.5,792.27
2711,8701.7,8724.8
7581,7642.1,7526.4
6257,6635.3,8053
1506,1361.9,9819.2
547,7689.4,405.74
46,2105.3,8625.6
617,6267.2,2935.7
2060,9925.4,5147.3
635,1480.8,7147.1
66,9036.6,8027.2
760,945.66,1153.8
4152,2213.4,8773.3
459,5377.6,8728
2033,6228.8,8705.8
357,6770,7.4959
5026,907.2,1126.9
503,8693.7,4418.5
1113,8727.7,8662.1
3623,4305.1,9374.8
1435,3849.7,6570.8
6440,5909.6,6197.8
568,9876.9,5907.2
13,7950.6,7721.2
4082,9815.9,5449.8
46,1025.6,5569.3
1871,2601.7,831.61
55,934.26,1904.9
1938,6635.5,6307.2
2556,7822.4,1163.8
9340,8783.3,1030.9
57,1435.5,6862.2
21,1454.6,8501.9
1099,5837.6,2676.6
1220,9443.2,6056.4
536,9249.5,9923.4
8886,7662.2,7760
4375,3197.2,2326
465,7797.6,9684.5
9390,6172.7,9297.7
2233,7201,8704
198,9001.7,6412.1
942,5611.1,4630.7
6304,4619.9,497.45
9560,4811,4753.5
417,8990.2,3368.4
248,6587,8212.6
1734,7741.3,2752
1511,1402.1,9835.8
731,5045.8,9609
731,28.715,462.72
8061,7354.6,5641.7
3326,5084.4,1795.8
1851,3213,998.51
1494,8503.5,3318.1
2735,5592,3084.7
1870,6656.7,7991.9
414,5796.5,7484.3
482,8293.5,199.91
1800,3700,6734.6
120,1925.7,6444.3
2271,2144.7,9701
4276,8416.5,4770.2
51,3608.6,5440.5
1544,6233.7,6744.6
67,6058,3728.3
5251,1153.6,6664
1791,7895,3521.2
88,5967.3,1834.9
96,1636.9,6779.5
1747,9933,8410.6
118,775.17,3425.7
117,9660.8,2280.5
729,434.08,5748.6
2808,565.29,8036.5
740,1418.6,3122.9
57,9576.6,4658.1
1329,5473.7,5644.8
1569,968.88,4951.9
715,673.75,350.99
645,3195.9,5265.3
1012,7153.5,9328.3
341,9516.1,4668.5
475,239.03,1009.7
1002,3355.2,6531.6
7130,4059.9,5021.5
9092,7611.9,107.33
4553,8044,804.49
1992,1462.3,1254.5
1807,2350,7324.8
2189,7037.6,6113.4
9863,683.99,1553.7
1030,5194.4,7912.8
4589,5766.6,3473.3
1838,235.7,489.42
5133,7853.8,801.92
4107,6932.7,6334.1
114,881.82,3784.1
274,8410.9,4217.6
388,3711.6,2652.7
781,9671.4,5206.6
351,8583.6,2802.4
4294,3856.3,9462.1
1228,6852.8,2577.2
8374,9807.8,3688.2
351,7708.7,7434.9
237,1440.1,6402.6
168,2187.2,5393.1
476,261.41,6832.4
1555,7064.8,6042.5
358,5075,6404.7
2133,70.808,9071.1
177,6565.8,4358.2
5461,7429.1,8241
537,9042.6,3666.6
254,9513,112.17
36,8505.5,3732.8
2595,666.18,1967
199,2929.3,5151.1
1288,392.38,2103.5
1709,997.01,4971.4
612,2436.8,2651.7
8376,9868.8,3683.1
115,878.05,3809.4
1857,5368.8,5353.2
64,611.52,4383.5
90,4764.7,4945.8
761,8567.3,7407.3
121,6355.5,9008.7
355,2021.2,3157.4
1573,4307.5,5738.2
6155,6049.3,4430.6
916,7398.3,1324.3
3212,4938.2,7738.4
78,4173.5,4097.8
3,8168,2966.9
582,7477.3,2811.1
1406,4172.2,7407.5
2042,6820.9,2612.2
64,7203.9,3138.8
281,4555,9140.2
8563,595.35,4453.5
97,280.67,6113
579,1837,5015.4
328,8079.4,8079.8
462,5585.7,6348.5
203,2412.7,6041.2
3824,5151.6,1738.8
1457,971.81,4970.3
254,101.43,2377.4
2338,5772.5,8943.5
1942,4229,300.49
49,8644.5,8888.7
354,5904.8,5703.9
477,1500.6,6395.7
4081,2380.9,1073.3
94,8563.8,7452
148,8739.8,3153
44,5240.6,4201.1
889,8591.6,1396.4
859,8458.8,2737.8
564,1918.9,8782.5
2213,9751.9,5774.2
751,3534.6,23.709
141,2900,9442.5
3224,6651.6,900.68
388,893.92,4875.2
870,2678.6,2979.9
165,1615.9,9851.7
561,3493.6,8569.9
5196,5571.9,7644.8
67,4369.9,1875.7
4033,1653.2,6560.7
4171,1426.9,4631.4
559,2070.2,9163.8
59,3553.6,9332.5
588,4317.4,5728
510,9228.3,1369.2
